project,status,parent,operator,output,reserves,coal_type,coal_grade,type,workforce,country,region,url,lat,lng
Moolarben Coal Mine,operating,"Yankuang Energy (95%), Kores Australia Moolarben Coal Pty Limited (5%)",Moolarben Coal Operations,16.9,155,subbituminous,thermal,underground_and_surface,300,Australia,Oceania,https://www.gem.wiki/Moolarben_Coal_Mine,-32.2828165,149.7591596
Moolarben Coal Mine,operating,"Yankuang Energy (95%), Kores Australia Moolarben Coal Pty Limited (5%)",Moolarben Coal Operations,3,39,subbituminous,thermal,underground_and_surface,,Australia,Oceania,https://www.gem.wiki/Moolarben_Coal_Mine,-32.2828165,149.7591596
Moolarben Coal Mine,proposed,"Yancoal Coal (95%), Kores Australia Moolarben Coal Pty Limited (5%)",Moolarben Coal Operations,*,,subbituminous,thermal,surface,,Australia,Oceania,https://www.gem.wiki/Moolarben_Coal_Mine,-32.2828165,149.7591596
Moorlands Coal Mine,shelved,Cuesta Coal,Cuesta Coal,1.9,,subbituminous,thermal,surface,160,Australia,Oceania,https://www.gem.wiki/Moorlands_coal_project,-22.816656,147.379922
Moorvale Coal Mine,operating,"Peabody Energy (73.3%), CITIC Australia Coppabella (14.0%), Marubeni Corporation (7.0%), KC Resources (3.7%), NS Coal (2.0%)",Coppabella and Moorvale Joint Venture (CMJV),1.36,8,bituminous,met,surface,188,Australia,Oceania,https://www.gem.wiki/Moorvale_coal_mine,-21.971718,148.372197
Moranbah North Coal Mine,operating,"Anglo American (88%), Nippon Steel (6.15%), Mitsui Holdings (4.75%), Shinsho Corporation (0.5%), JFE Mineral Company Limited (0.5%)",Anglo American,3.39,200,bituminous,met,underground,940,Australia,Oceania,https://www.gem.wiki/Moranbah_North_coal_mine,-21.871331,147.956742
Moranbah South Coal Project,shelved,Anglo American,Anglo American,18,,bituminous,met,underground,1300,Australia,Oceania,https://www.gem.wiki/Moranbah_South_coal_project,-22.072567,148.096529
Mount Arthur Coal Mine,operating,BHP,Hunter Valley Energy Coal,14.9,568,bituminous,met,surface,471,Australia,Oceania,https://www.gem.wiki/Mount_Arthur_coal_mine,-32.337022,150.856144
Mount Pleasant Coal Mine,operating,Integrated Energy Services Corporation,Mach Energy,7.4,474,bituminous,thermal,surface,340,Australia,Oceania,https://www.gem.wiki/Mount_Pleasant_coal_mine,-32.25591661,150.8499847
Mount Pleasant Coal Mine,proposed,Integrated Energy Services Corporation,Mach Energy,6.5,474,bituminous,thermal,surface,270,Australia,Oceania,https://www.gem.wiki/Mount_Pleasant_coal_mine,-32.25591661,150.8499847
Mt Owen Coal Mine,operating,Glencore,Thiess,6.9,95,bituminous,thermal_and_met,surface,500,Australia,Oceania,https://www.gem.wiki/Mt_Owen_mine,-32.4066392,151.085603
Mt Thorley Warkworth Coal Mine,operating,"Yancoal (80%), POSCO (20%)",Coal & Allied,12.4,249,bituminous,thermal_and_met,surface,710,Australia,Oceania,https://www.gem.wiki/Mt_Thorley_Warkworth_coal_mine,-32.60700995,151.0901636
Mt Thorley Warkworth Coal Mine,proposed,"Yancoal (84.5%), Nippon Steel (9.5%), Mitsubishi Materials (6%)",Coal & Allied,6,,bituminous,thermal_and_met,underground,,Australia,Oceania,https://www.gem.wiki/Mt_Thorley_Warkworth_coal_mine,-32.60700995,151.0901636
Muswellbrook No. 2 Coal Mine,closed,Idemitsu Kosan,Muswellbrook Coal Company,0.94,,subbituminous,thermal,surface,150,Australia,Oceania,https://www.gem.wiki/Muswellbrook_No._2_coal_mine,-32.244988,150.941392
Muswellbrook No. 2 Coal Mine,shelved,Idemitsu Kosan,Muswellbrook Coal Company,13.6,,bituminous,,surface,,Australia,Oceania,https://www.gem.wiki/Muswellbrook_No._2_coal_mine,-32.244988,150.941392
Myuna Coal Mine,operating,Banpu,Centennial Coal,0.866,41,subbituminous,thermal,underground,300,Australia,Oceania,https://www.gem.wiki/Myuna_coal_mine,-33.060111,151.568738
Narrabri Coal Mine,operating,"Whitehaven (70%), J Power (8%)",Whitehaven,3.98,169,bituminous,thermal,underground,500,Australia,Oceania,https://www.gem.wiki/Narrabri_coal_mine,-30.519437,149.903821
Narrabri Coal Mine,proposed,"Whitehaven (70%), J Power (8%)",Whitehaven,5.3,,bituminous,thermal_and_met,underground,,Australia,Oceania,https://www.gem.wiki/Narrabri_coal_mine,-30.519437,149.903821
New Acland Coal Mine,mothballed,New Hope Group,New Acland Coal Pty Limited,0.4,366,subbituminous,thermal,surface,392,Australia,Oceania,https://www.gem.wiki/New_Acland_mine,-27.278281,151.710176
New Acland Coal Mine,proposed,New Hope Group,New Hope Coal,1.5,80,bituminous,thermal,surface,487,Australia,Oceania,https://www.gem.wiki/New_Acland_mine,-27.278281,151.710176
Newlands Coal Mine,operating,Glencore,Glencore,4.3,110,bituminous,thermal_and_met,surface,600,Australia,Oceania,https://www.gem.wiki/Newlands_coal_mine,-21.201424,147.887969
Newstan Coal Mine,cancelled,Banpu,Centennial Coal,1.6,66,bituminous,thermal_and_met,underground,320,Australia,Oceania,https://www.gem.wiki/Newstan_coal_mine,-32.978628,151.574319
Northern Galilee Coal Project,shelved,TerraCom,TerraCom,*,,subbituminous,thermal,underground,,Australia,Oceania,https://www.gem.wiki/Northern_Galilee_coal_project,-20.528303,145.203065
Oaky Creek Coal Mine,operating,"Glencore (33%), Sumisho Coal Australia (33%), Itochu (33%)",Glencore,3.79,47,bituminous,met,underground,693,Australia,Oceania,https://www.gem.wiki/Oaky_Creek_coal_mine,-23.072256,148.483994
Olive Downs Coal Mine,proposed,Pembroke Resources,Pembroke Resources,4.5,514,bituminous,met,surface,1000,Australia,Oceania,https://www.gem.wiki/Olive_Downs_coal_mine,-22.2204628,148.4033203
Olive Downs Coal Mine,proposed,Pembroke Resources,Pembroke Resources,10.5,514,bituminous,met,surface,1000,Australia,Oceania,https://www.gem.wiki/Olive_Downs_coal_mine,-22.2204628,148.4033203
Peak Downs Coal Mine,operating,"BHP (50%), Mitsubishi Corporation (50%)",Thiess,9.8,1045,bituminous,met,surface,1760,Australia,Oceania,https://www.gem.wiki/Peak_Downs_coal_mine,-22.2548999,148.1796569
Pine Dale Coal Mine,mothballed,Energy Australia,Energy Australia,0.35,1,subbituminous,thermal,surface,133,Australia,Oceania,https://www.gem.wiki/Pine_Dale_Coal_Mine,-33.364474,150.046122
Poitrel Coal Mine,operating,Stanmore Resources,Stanmore Resources,4.2,44,bituminous,met,surface,245,Australia,Oceania,https://www.gem.wiki/Poitrel_mine,-22.06650421,148.2551254
Premier Coal Mine,operating,Shandong Energy,Syntech Resources,4.2,28,subbituminous,thermal,surface,282,Australia,Oceania,https://www.gem.wiki/Premier_mine,-33.391728,116.286509
Range Coal Project,shelved,Sinar Mas Tunggal,Stanmore Coal,5,118,bituminous,thermal,surface,400,Australia,Oceania,https://www.gem.wiki/Range_coal_project,-26.230392,150.272257
Ravensworth Coal Mine,operating,"Glencore (90%), Itochu (10%)",Ravensworth Operations,8.7,192,bituminous,thermal_and_met,surface,130,Australia,Oceania,https://www.gem.wiki/Ravensworth_mine,-32.4426478,151.0063967
Red Hill Coal Project,shelved,"BHP (50%), Mitsubishi Corporation (50%)","Queensland Coal, BHP Mitsubishi Alliance (BMA)",14,,bituminous,met,underground,1500,Australia,Oceania,https://www.gem.wiki/Red_Hill_coal_project,-21.764098,148.005592
Rix Creek Coal Mine,operating,Bloomfield Group,Bloomfield Group,1.3,,bituminous,thermal_and_met,underground_and_surface,567,Australia,Oceania,https://www.gem.wiki/Rix_Creek_coal_mine,-32.52393559,151.1208768
Rix Creek Coal Mine,proposed,Bloomfield Group,Bloomfield Group,*,,bituminous,thermal_and_met,underground_and_surface,567,Australia,Oceania,https://www.gem.wiki/Rix_Creek_coal_mine,-32.52393559,151.1208768
Rolleston Coal Mine,operating,Glencore,Glencore Australia,12.5,185,bituminous,thermal,surface,49,Australia,Oceania,https://www.gem.wiki/Rolleston_coal_mine,-24.456609,148.404902
Rolleston Coal Mine,shelved,Glencore,Glencore Australia,5,,bituminous,thermal,surface,175,Australia,Oceania,https://www.gem.wiki/Rolleston_coal_mine,-24.456609,148.404902
Russell Vale Colliery,proposed,Jindal Group,Wollongong Coal,0.74,4,bituminous,met,underground,200,Australia,Oceania,https://www.gem.wiki/WCL_Russell_Vale_Colliery,-34.35566,150.89169
Saraji Coal Mine,operating,"BHP (50%), Mitsubishi Corporation (50%)","Queensland Coal, BHP Mitsubishi Alliance (BMA)",8.8,541,bituminous,met,surface,675,Australia,Oceania,https://www.gem.wiki/Saraji_coal_mine,-22.371371,148.299848
Saraji East Coal Mine,proposed,"BHP (50%), Mitsubishi Corporation (50%)","Queensland Coal, BHP Mitsubishi Alliance (BMA)",7,,bituminous,met,underground,500,Australia,Oceania,https://www.gem.wiki/Saraji_East_coal_mine,-22.371371,148.299848
Sonoma Coal Mine,operating,QCoal,Thiess,4,46,bituminous,thermal_and_met,surface,250,Australia,Oceania,https://www.gem.wiki/Sonoma_mine,-20.62,147.86
South Galilee Coal Project,shelved,"AMCI (50%), Bandanna Energy (50%)","AMCI, Alpha Coal",3,,bituminous,thermal,underground_and_surface,,Australia,Oceania,https://www.gem.wiki/South_Galilee_coal_project,-23.720462,146.391096
South Walker Creek Coal Mine,operating,Stanmore Resources,Stanmore Resources,5.4,182,bituminous,met,surface,635,Australia,Oceania,https://www.gem.wiki/South_Walker_Creek_mine,-21.753393,148.443289
Springsure Creek Coal Project,shelved,Adamelia Group,Adamelia Resources,5,174,bituminous,thermal,underground,585,Australia,Oceania,https://www.gem.wiki/Springsure_Creek_coal_project,-24.008602,148.372046
Springsure Creek Coal Project,shelved,Adamelia Group,Adamelia Resources,6,,bituminous,thermal,underground,,Australia,Oceania,https://www.gem.wiki/Springsure_Creek_coal_project,-24.008602,148.372046
Springsure Project,shelved,TerraCom,Springsure Mining,1.55,,bituminous,thermal_and_met,underground,104,Australia,Oceania,https://www.gem.wiki/Springsure_coal_project,-23.9809265,148.0394281
Springvale Coal Mine,operating,Banpu,"Centennial Coal, Springvale SK Kores",2.09,63,subbituminous,thermal,underground,358,Australia,Oceania,https://www.gem.wiki/Springvale_coal_mine,-33.4006,150.105627
Spur Hill Coal Mine,shelved,"Spur Hill U.T. (50%), Malabar Coal (50%)",Spur Hill Management,6,154,bituminous,met,underground,,Australia,Oceania,https://www.gem.wiki/Spur_Hill_coal_mine,-32.409645,150.737875
Stratford Complex,operating,Shandong Energy,Stratford Coal,0.46,,bituminous,thermal_and_met,surface,483,Australia,Oceania,https://www.gem.wiki/Stratford_Complex,-32.11607,151.974708
Stratford Duralie Coal Mine,closed,Shandong Energy,Yancoal,0.8,0,bituminous,met,surface,,Australia,Oceania,https://www.gem.wiki/Duralie_mine,-32.2972426,151.93447
Sunnyside Coal Mine,closed,Whitehaven,Whitehaven,0.4,,subbituminous,thermal,surface,20,Australia,Oceania,https://www.gem.wiki/Sunnyside_Coal_Mine,-30.975953,150.121288
Tahmoor Coal Mine,operating,"SIMEC Mining Division (50%), GFG Alliance (50%)",Tahmoor Coal,4,11,bituminous,met,underground,400,Australia,Oceania,https://www.gem.wiki/Tahmoor_coal_complex,-34.2532732,150.5753104
Talwood Coal Mine,cancelled,Aquila Resources,Aquila Resources,3.6,,bituminous,met,underground,,Australia,Oceania,https://www.gem.wiki/Talwood_coal_mine,-21.66498,148.191272
Taroborah Coal Project,cancelled,China Energy,,5.753,,subbituminous,thermal,underground_and_surface,,Australia,Oceania,https://www.gem.wiki/Taroborah_Coal_Project,-23.514576,147.940851
Tarrawonga Coal Mine,operating,Whitehaven,Whitehaven,2.2,35,subbituminous,thermal,surface,91,Australia,Oceania,https://www.gem.wiki/Tarrawonga_coal_mine,-30.639584,150.167277
Teresa Coal Project,cancelled,Linc Energy,New Emerald Coal,6.4,50,bituminous,met,underground,,Australia,Oceania,https://www.gem.wiki/Teresa_coal_project,-23.34731,148.154822
Togara North Coal Project,cancelled,Glencore,Glencore,6,770,subbituminous,thermal,underground,,Australia,Oceania,https://www.gem.wiki/Togara_North_coal_project,-23.835653,148.614339
Ulan Complex Coal Mine,operating,Glencore,Ulan Coal Mines Limited,11.759,142,bituminous,thermal,underground,660,Australia,Oceania,https://www.gem.wiki/Ulan_coal_mines,-32.242539,149.749697
United Wambo Coal Mine,operating,"Peabody Energy (50%), Glencore (50%)",United Collieries and Wambo Coal,5.02,150,bituminous,thermal_and_met,surface,500,Australia,Oceania,https://www.gem.wiki/United_Wambo_coal_project,-32.549369,150.984787
Valeria Coal Mine,proposed,Glencore,Valeria Coal Holdings,16,,bituminous,thermal_and_met,surface,900,Australia,Oceania,https://www.gem.wiki/Valeria_coal_project,-23.470142,148.033559
Valeria South Coal Mine,cancelled,Glencore,Valeria South Limited,1.4,,bituminous,thermal_and_met,surface,75,Australia,Oceania,https://www.gem.wiki/Valeria_South_coal_project,-23.3407382,147.85037
Vermont East Coal Project,cancelled,Pembroke Resources,Pembroke Resources,4,,bituminous,thermal_and_met,underground,,Australia,Oceania,https://www.gem.wiki/Vermont_East_coal_project,-22.120111,148.383458
Vickery Coal Mine,proposed,Whitehaven,Vickery Coal,4.5,,bituminous,met,surface,450,Australia,Oceania,https://www.gem.wiki/Vickery_coal_mine,-30.76467,150.17894
Vickery Coal Mine,proposed,Whitehaven,Vickery Coal,5.5,200,bituminous,met,surface,170,Australia,Oceania,https://www.gem.wiki/Vickery_coal_mine,-30.76467,150.17894
Vulcan Coal Mine Complex,proposed,Vitrinite,Vitrinite,1.95,,bituminous,met,surface,,Australia,Oceania,https://www.gem.wiki/Vulcan_Coal_Mine_Complex,-22.310714,148.185988
Wallarah 2 Coal Project,shelved,"Kores Australia (82%), Sojitz (5%), Kyungdong (4%), SK Networks Resources (8%)",Wyong Areas Coal Joint Venture,4,,subbituminous,thermal,underground,300,Australia,Oceania,https://www.gem.wiki/Wallarah_2_Coal_Project,-33.223341,151.390511
Walton Coal Mine,shelved,Walton Coal,Walton Coal,1.6,,bituminous,met,surface,223,Australia,Oceania,https://www.gem.wiki/Walton_coal_project,-23.58232637,149.2181492
Wambo Open Cut Mine,operating,Peabody Energy,Peabody Energy Australia,1.81,,bituminous,thermal_and_met,surface,,Australia,Oceania,https://www.gem.wiki/Wambo_Mine,-32.575524,151.006688
Wambo Underground Coal Mine,operating,Peabody Energy,Peabody Energy Australia,1,118,bituminous,thermal_and_met,underground,280,Australia,Oceania,https://www.gem.wiki/Wambo_Mine,-32.575524,151.006688
Wandoan Coal Project,shelved,"Glencore (75%) ICRA (12.5%), Sumitomo Corporation (12.5%)",Glencore Coal Queeensland,22,846,subbituminous,thermal,surface,,Australia,Oceania,https://www.gem.wiki/Wandoan_Coal_Project,-26.12621,149.8487
Wards Well Coal Mine,proposed,"Stanmore Resources (50%), Mitsubishi Corporation (50%)","Queensland Coal, Stanmore Resources Limited (BMA)",5,,bituminous,met,underground,500,Australia,Oceania,https://www.gem.wiki/Wards_Well_-_Lancewood_coal_project,-21.598813,147.958654
Watermark Coal Mine,cancelled,China Energy,Shenhua Watermark Coal,6,283,bituminous,thermal,surface,425,Australia,Oceania,https://www.gem.wiki/Watermark_Coal_Project,-31.226757,150.438691
Werris Creek Coal Mine,operating,Whitehaven,Werris Creek Coal,1.49,10,bituminous,thermal_and_met,surface,150,Australia,Oceania,https://www.gem.wiki/Werris_Creek_coal_mine,-31.40698,150.6395
Wilpinjong Coal Mine,operating,Peabody Energy,Wilpinjong Coal,10.98,,bituminous,thermal,surface,350,Australia,Oceania,https://www.gem.wiki/Wilpinjong_Mine,-32.332,149.885
Wilpinjong Coal Mine,proposed,Peabody Energy,Wilpinjong Coal,1,,bituminous,thermal,surface,275,Australia,Oceania,https://www.gem.wiki/Wilpinjong_Mine,-32.319056,149.867537
Wilson Creek Coal Mine,proposed,Vitrinite,Vitrinite,*,,bituminous,thermal_and_met,surface,,Australia,Oceania,https://www.gem.wiki/Wilson_Creek_coal_mine,-21.18801509,147.973005
Wilton and Fairhill Coal Projects,proposed,"Futura Resources (50%), Sojitz (50%)","Futura Resources, Sojitz Coal",2.6,,bituminous,met,surface,100,Australia,Oceania,https://www.gem.wiki/Wilton_and_Fairhill_coal_project,-23.41261,148.576971
Winchester South Coal Mine,proposed,Whitehaven,Whitehaven,8.5,,bituminous,met,surface,450,Australia,Oceania,https://www.gem.wiki/Winchester_South_coal_project,-22.1508629,148.1757381
Woori Coal Mine,cancelled,New Hope Group,North Surat Coal,3.4,,subbituminous,thermal,surface,,Australia,Oceania,https://www.gem.wiki/Woori_Coal_Mine,-26.263394,150.035886
Yallourn Coal Mine,operating,CLP Group,Roche Thiess Linfox (RTL),18,463,lignite,thermal,surface,500,Australia,Oceania,https://www.gem.wiki/Yallourn_mine,-38.195064,146.360402
Yarrabee Coal Mine,operating,Shandong Energy,Yancoal,2.6,51,bituminous,met,surface,343,Australia,Oceania,https://www.gem.wiki/Yarrabee_coal_mine,-23.317678,149.026371
Barapukuria Coal Mine,operating,Petrobangla,Barapakuria Coal Mining Company Limited (BCMCL),0.753,64,bituminous,thermal,underground,593,Bangladesh,Asia,https://www.gem.wiki/Barapukuria_coal_mine,25.547269,88.96062
Barapukuria Coal Mine,shelved,Petrobangla,Barapakuria Coal Mining Company Limited (BCMCL),0.5,,bituminous,thermal,underground,,Bangladesh,Asia,https://www.gem.wiki/Barapukuria_coal_mine,25.547269,88.96062
Dighipara Coal Mine,shelved,Petrobangla,Barapakuria Coal Mining Company Limited (BCMCL),3,150,bituminous,thermal,surface,,Bangladesh,Asia,https://www.gem.wiki/Dighipara_coal_mine,25.416667,89.083333
Phulbari Coal Mine,shelved,GCM Resources,Global Coal Management Resources (GCM),16,572,bituminous,thermal,surface,,Bangladesh,Asia,https://www.gem.wiki/Phulbari_coal_mine,25.9468733,89.5532405
Habrang Coal Mine,operating,State Mining Corporation Limited (SMCL),State Mining Corporation Limited (SMCL),0.05,,subbituminous,thermal,surface,438,Bhutan,Asia,https://www.gem.wiki/Habrang_Coal_Mine,26.90306949,91.67961198
Rishore Coal Mine,operating,State Mining Corporation Limited (SMCL),State Mining Corporation Limited (SMCL),0.03,,subbituminous,thermal,surface,434,Bhutan,Asia,https://www.gem.wiki/Rishore_Coal_Mine,26.85191894,91.45143986
Tshophangma Coal Mine,operating,State Mining Corporation Limited (SMCL),State Mining Corporation Limited (SMCL),0.04,,subbituminous,thermal,surface,434,Bhutan,Asia,https://www.gem.wiki/Tshophangma_Coal_Mine,26.90279203,91.6801055
Banovici Coal Mine,operating,"BiH Government (69.5%), ZIF HERBOS FOND d.d. Tuzla (7%)",RMU Banovici,1.5,162,subbituminous,thermal,underground_and_surface,2798,Bosnia and Herzegovina,Europe,https://www.gem.wiki/Banovici_coal_mine,44.419483,18.453354
Banovici Coal Mine,shelved,"BiH Government (69.5%), ZIF HERBOS FOND d.d. Tuzla (7%)",RMU Banovici,0.6,,subbituminous,thermal,underground,,Bosnia and Herzegovina,Europe,https://www.gem.wiki/Banovici_coal_mine,44.419483,18.453354
Bila Coal Mine,operating,Elektroprivreda BiH,Abid Lolic,0.2,16,subbituminous,thermal,underground,354,Bosnia and Herzegovina,Europe,https://www.gem.wiki/Bila_coal_mine,44.22142,17.76726
