project,status,parent,operator,output,reserves,coal_type,coal_grade,type,workforce,country,region,url,lat,lng
Xiaonan Coal Mine,operating,Liaoning Energy Industry Holding Group,Tiefa Coal Industry GroupXiaonan Coal Mine,2.1,21,bituminous,thermal,underground,2401,China,Asia,https://www.gem.wiki/Xiaonan_Coal_Mine,42.373531,123.613979
Xiaoqing Coal Mine,operating,Liaoning Energy Industry Holding Group,Tiefa Coal Industry GroupXiaoqing Coal Mine,2.5,19,bituminous,thermal,underground,2544,China,Asia,https://www.gem.wiki/Xiaoqing_Coal_Mine,42.422987,123.644524
Xiaoxi Coal Mine,operating,Yangcheng County Yangtai Coal Industry Company,Shanxi Yancheng Yangtai Group Xiaoxi Coal Industry Company,1.2,71,anthracite,thermal,underground,847,China,Asia,https://www.gem.wiki/Xiaoxi_Coal_Mine,35.635324,112.215637
Xiaoyu Coal Mine,operating,Jinneng Group,Datong Coal Mining Group,4,326,bituminous,thermal,underground,4047,China,Asia,https://www.gem.wiki/Xiaoyu_Coal_Mine,39.813832,112.899861
Xiaoyugou Coal Mine,operating,Hin Fat Investment Company,Inner Mongolia Threedimensional Resource Group Xiaoyugou Coal Company.,3,64,subbituminous,thermal,underground,537,China,Asia,https://www.gem.wiki/Xiaoyugou_Coal_Mine,39.992688,111.361925
Xiaozhuang Coal Mine,operating,"Shaanxi Coal and Chemical Industry Group (45%), China Development Bank (6%), Others (49%)",Shaanxi Binchang Xiaozhuang Coal Company,6,578,bituminous,thermal,underground,1596,China,Asia,https://www.gem.wiki/Xiaozhuang_Coal_Mine,35.08346,107.983823
Xiashanmao Coal Mine,operating,Shanxi Wanma Investment Group,Shanxi Liulin Xinfei Xiashanmao Coal Industry Company,1.2,15,bituminous,met,underground,484,China,Asia,https://www.gem.wiki/Xiashanmao_Coal_Mine,37.611226,110.875292
Xiashijie Coal Mine,operating,Shaanxi Coal and Chemical Industry Group,Shaanxi Shanmei Tongchuan Mining Industry Company Xiashijie Coal Mine,1.85,44,bituminous,thermal,underground,1967,China,Asia,https://www.gem.wiki/Xiashijie_Coal_Mine,35.228223,108.856012
Xiayukou Coal Mine,operating,Shaanxi Coal and Chemical Industry Group,Shaanxi Shanmei Hancheng Mining Company. Xiayukou Coal Mine,1.5,72,bituminous,thermal,underground,2453,China,Asia,https://www.gem.wiki/Xiayukou_Coal_Mine,35.60856,110.561149
Xiegou Coal Mine,operating,Shanxi Coking Coal Group,Shanxi Xishan Jinxing Energy Company,15,1270,bituminous,thermal_and_met,underground,2662,China,Asia,,38.656993,111.11449
Xiehua Coal Mine,operating,Inner Mongolia Tehong Coal Power Group,Inner Mongolia Tehong Coal Power Group Xiehua Coal Mine,0.9,,bituminous,,underground,326,China,Asia,https://www.gem.wiki/Xiehua_Coal_Mine,39.850508,111.328355
Xieqiao Coal Mine,operating,"Huaihe Energy (83%), China Cinda Asset Management Company (8%), China Energy(3%), Others (6%)",Huainan Mining Group,9.6,319,bituminous,thermal_and_met,underground,6588,China,Asia,https://www.gem.wiki/Xieqiao_Coal_Mine,32.774098,116.381556
Xiezhuang Coal Mine,operating,Shandong Energy,Xinwen Mining Group,1.2,35,bituminous,thermal_and_met,underground,3929,China,Asia,https://www.gem.wiki/Xiezhuang_Coal_Mine,35.902492,117.611148
Xiguxian Coal Mine,operating,Shanxi Xiangkuang Group,Shanxi Xiangkuang Xiguxian Coal Industry Company,0.9,30,bituminous,thermal_and_met,underground,567,China,Asia,https://www.gem.wiki/Xiguxian_Coal_Mine,36.650017,113.006414
Xihongdun Coal Mine,proposed,Shaanxi Yanchang Petroleum (Group) Company,Shaanxi Yanchang Petroleum Xihongdun Coal Industry Company,10,1406,bituminous,thermal,underground,,China,Asia,,38.228169,109.288869
Xima Coal Mine,operating,Shenyang Coal Industry Group,Shenyang Coking Coal Company Xima Coal Mine,1.5,17,anthracite,thermal,underground,2371,China,Asia,https://www.gem.wiki/Xima_Coal_Mine,41.358919,123.185194
Ximing Coal Mine,operating,Shanxi Coking Coal Group,Shanxi Coking Coal Energy Group,3.6,132,bituminous,met,underground,4423,China,Asia,https://www.gem.wiki/Ximing_Coal_Mine,37.864661,112.411327
Xin'an Coal Mine,operating,Shandong Energy,Zaozhuang Mining Group,3.5,164,bituminous,thermal,underground,1644,China,Asia,https://www.gem.wiki/Xin%27an_Coal_Mine,34.994718,116.920679
Xinbai Coal Mine,operating,China Huaneng,Huating Coal Industry Group,1.5,52,bituminous,thermal,underground,1194,China,Asia,https://www.gem.wiki/Xinbai_Coal_Mine,35.191084,107.004543
Xinchazhuang Coal Mine,operating,Shandong Luzhong Energy Group,Shandong Xinchazhuang Mining Company,0.9,14,bituminous,met,underground,1948,China,Asia,https://www.gem.wiki/Xinchazhuang_Coal_Mine,36.220397,116.551793
Xindadi Coal Mine,operating,Huayang New Material Technology Group,Yangquan Coal Industry Group Huaneng Coal Power Investment Company,1.5,81,anthracite,thermal,underground,716,China,Asia,https://www.gem.wiki/Xindadi_Coal_Mine,37.35502,113.575567
Xinfa Coal Mine,operating,Shanxi Jinhua Yongrui Real Estate Development Company,Shanxi Qiyi Coal Chemical Group,1.5,,bituminous,thermal,underground,1741,China,Asia,https://www.gem.wiki/Xinfa_Coal_Mine,36.588144,112.97955
Xing'an Coal Mine,operating,Heilongjiang Longmei Mining Group,Heilongjiang Longmei Mining Industry Group Hegang Branch,3,215,bituminous,met,underground,1329,China,Asia,https://www.gem.wiki/Heilongjiang_Xing%27an_Coal_Mine,47.23532,130.22511
Xingdong Coal Mine,operating,Jizhong Energy Group,Jizhong Energy Company Xingdong Coal Mine,1.25,5,anthracite,thermal,underground,1592,China,Asia,https://www.gem.wiki/Xingdong_Coal_Mine,37.092102,114.541672
Xingheng Coal Mine,operating,Inner Mongolia Jiaye Energy Group,Inner Mongolia Jiaye Coal Industry Company,1.5,,bituminous,thermal,surface,126,China,Asia,https://www.gem.wiki/Xingheng_Coal_Mine,39.966445,109.897633
Xinghua Coal Mine,operating,Heilongjiang Longmay Mining Holding Group,Heilongjiang Longmei Jixi Mining Company,2,106,bituminous,met,underground,1664,China,Asia,https://www.gem.wiki/Xinghua_Coal_Mine,45.325451,131.109893
